iter	Passed	Remaining
0	11	11662
1	12	6229
2	15	5086
3	17	4329
4	18	3654
5	21	3621
6	22	3240
7	24	3042
8	28	3094
9	31	3120
10	33	3007
11	34	2824
12	35	2659
13	35	2517
14	36	2399
15	37	2326
16	41	2389
17	42	2315
18	44	2297
19	45	2229
20	46	2179
21	49	2185
22	51	2168
23	51	2110
24	52	2050
25	53	1997
26	54	1949
27	54	1908
28	56	1892
29	59	1909
30	60	1878
31	60	1839
32	63	1866
33	65	1848
34	67	1873
35	69	1862
36	70	1835
37	71	1804
38	73	1801
39	75	1803
40	76	1786
41	79	1809
42	80	1794
43	84	1837
44	86	1833
45	87	1808
46	88	1784
47	88	1763
48	90	1747
49	92	1751
50	92	1730
51	93	1707
52	96	1726
53	97	1716
54	102	1756
55	104	1757
56	105	1738
57	106	1721
58	112	1789
59	118	1858
60	120	1857
61	122	1854
62	124	1847
63	125	1840
64	127	1830
65	129	1829
66	130	1818
67	131	1799
68	132	1792
69	134	1782
70	135	1772
71	136	1755
72	136	1737
73	139	1745
74	141	1742
75	142	1734
76	145	1741
77	146	1732
78	147	1722
79	148	1706
80	150	1702
81	152	1701
82	153	1696
83	154	1681
84	155	1669
85	156	1663
86	158	1665
87	164	1702
88	166	1705
89	170	1720
90	172	1725
91	174	1718
92	177	1726
93	179	1730
94	180	1717
95	183	1725
96	184	1721
97	185	1711
98	189	1724
99	191	1725
100	194	1730
101	195	1724
102	200	1748
103	203	1749
104	203	1738
105	208	1761
106	211	1766
107	213	1759
108	216	1772
109	219	1775
110	222	1778
111	223	1768
112	224	1763
113	225	1753
114	228	1757
115	229	1751
116	230	1740
117	231	1733
118	236	1747
119	236	1737
120	237	1727
121	239	1727
122	241	1720
123	242	1710
124	242	1700
125	243	1690
126	246	1695
127	247	1687
128	248	1679
129	249	1670
130	252	1675
131	253	1668
132	254	1659
133	255	1651
134	258	1654
135	259	1647
136	260	1640
137	261	1631
138	261	1622
139	264	1627
140	266	1620
141	266	1611
142	267	1604
143	269	1604
144	272	1605
145	273	1599
146	274	1592
147	276	1594
148	277	1587
149	278	1580
150	279	1573
151	283	1579
152	284	1572
153	285	1565
154	285	1558
155	288	1558
156	289	1554
157	290	1548
158	291	1541
159	293	1539
160	294	1532
161	295	1527
162	296	1521
163	297	1516
164	299	1514
165	300	1511
166	303	1511
167	305	1511
168	306	1507
169	307	1501
170	308	1496
171	309	1490
172	311	1488
173	312	1484
174	313	1478
175	317	1485
176	318	1479
177	319	1476
178	322	1478
179	323	1474
180	324	1470
181	325	1464
182	329	1472
183	330	1467
184	331	1462
185	333	1460
186	334	1456
187	335	1450
188	336	1445
189	338	1441
190	340	1440
191	341	1436
192	342	1430
193	342	1424
194	343	1419
195	347	1424
196	348	1418
197	348	1413
198	349	1407
199	352	1409
200	353	1404
201	355	1402
202	355	1397
203	358	1399
204	360	1396
205	360	1391
206	361	1385
207	363	1385
208	365	1381
209	365	1376
210	366	1371
211	367	1366
212	370	1370
213	371	1365
214	372	1360
215	373	1356
216	375	1355
217	376	1351
218	377	1346
219	378	1342
220	384	1353
221	385	1349
222	385	1344
223	388	1346
224	389	1342
225	390	1337
226	392	1337
227	393	1333
228	394	1329
229	395	1324
230	396	1319
231	398	1318
232	399	1316
233	400	1311
234	401	1307
235	402	1302
236	405	1306
237	406	1302
238	407	1297
239	408	1293
240	409	1288
241	410	1286
242	411	1282
243	412	1279
244	413	1274
245	416	1276
246	417	1272
247	418	1268
248	419	1264
249	419	1259
250	422	1259
251	423	1255
252	423	1251
253	424	1247
254	426	1246
255	428	1244
256	429	1241
257	430	1237
258	431	1233
259	432	1232
260	433	1228
261	434	1224
262	435	1220
263	436	1216
264	438	1215
265	439	1213
266	440	1210
267	442	1207
268	444	1207
269	445	1203
270	446	1199
271	446	1196
272	447	1192
273	448	1188
274	449	1185
275	457	1201
276	459	1198
277	460	1196
278	462	1194
279	463	1192
280	465	1191
281	466	1187
282	468	1186
283	469	1183
284	470	1180
285	472	1179
286	474	1178
287	475	1176
288	476	1173
289	477	1169
290	479	1168
291	480	1166
292	482	1164
293	483	1161
294	484	1157
295	486	1156
296	487	1152
297	488	1149
298	491	1151
299	493	1151
300	494	1148
301	496	1146
302	497	1145
303	499	1142
304	503	1146
305	504	1143
306	504	1139
307	506	1138
308	508	1137
309	509	1134
310	510	1130
311	511	1127
312	513	1126
313	514	1123
314	515	1120
315	516	1118
316	518	1118
317	520	1116
318	521	1113
319	522	1110
320	523	1107
321	525	1105
322	526	1103
323	527	1099
324	529	1100
325	531	1098
326	532	1095
327	533	1092
328	535	1093
329	537	1091
330	538	1088
331	539	1085
332	541	1083
333	542	1082
334	543	1079
335	545	1077
336	546	1075
337	548	1073
338	549	1070
339	550	1069
340	553	1068
341	554	1066
342	554	1062
343	555	1059
344	557	1057
345	558	1056
346	559	1053
347	560	1050
348	564	1053
349	565	1050
350	566	1047
351	568	1045
352	570	1044
353	570	1041
354	571	1038
355	572	1035
356	573	1032
357	574	1030
358	576	1028
359	576	1025
360	577	1022
361	578	1019
362	578	1015
363	581	1015
364	582	1012
365	582	1009
366	583	1006
367	584	1003
368	586	1002
369	587	1000
370	588	998
371	589	994
372	590	991
373	590	988
374	592	987
375	594	986
376	594	983
377	595	980
378	596	977
379	598	976
380	599	974
381	600	971
382	601	968
383	602	965
384	602	962
385	605	963
386	606	961
387	607	958
388	608	955
389	609	952
390	610	950
391	612	949
392	612	946
393	613	943
394	615	943
395	617	941
396	617	938
397	618	935
398	619	932
399	621	932
400	623	930
401	623	928
402	624	925
403	625	922
404	627	921
405	628	919
406	629	917
407	630	914
408	631	911
409	633	910
410	634	909
411	635	906
412	636	903
413	636	901
414	637	898
415	639	897
416	641	896
417	642	893
418	642	891
419	643	889
420	645	887
421	646	885
422	647	883
423	648	880
424	651	881
425	652	879
426	654	877
427	654	875
428	659	877
429	660	874
430	660	872
431	661	869
432	663	868
433	664	866
434	664	863
435	665	861
436	667	859
437	669	858
438	670	857
439	672	856
440	673	854
441	674	851
442	675	848
443	678	849
444	679	847
445	680	844
446	681	842
447	683	842
448	684	840
449	685	837
450	690	840
451	691	837
452	692	835
453	694	835
454	696	833
455	697	831
456	697	829
457	700	829
458	702	827
459	703	825
460	703	822
461	705	821
462	708	821
463	709	819
464	710	817
465	712	816
466	714	814
467	714	812
468	716	811
469	718	810
470	719	807
471	719	805
472	720	802
473	722	802
474	724	800
475	724	797
476	725	795
477	726	793
478	728	792
479	730	791
480	731	788
481	731	786
482	732	784
483	733	781
484	736	781
485	736	779
486	737	777
487	738	774
488	739	772
489	741	771
490	742	769
491	742	766
492	743	764
493	744	762
494	745	760
495	747	759
496	748	757
497	749	755
498	749	752
499	751	751
500	753	750
501	753	747
502	754	745
503	755	743
504	756	741
505	758	740
506	760	739
507	760	736
508	761	734
509	762	732
510	763	730
511	765	729
512	766	727
513	766	725
514	769	724
515	771	723
516	771	721
517	772	718
518	773	716
519	774	714
520	776	713
521	777	711
522	778	709
523	778	707
524	779	705
525	780	703
526	782	702
527	783	700
528	784	698
529	784	695
530	785	693
531	788	693
532	789	691
533	790	689
534	791	687
535	791	685
536	794	684
537	795	683
538	796	681
539	797	679
540	797	676
541	799	675
542	800	673
543	801	671
544	802	670
545	804	669
546	805	667
547	806	665
548	807	663
549	811	663
550	812	662
551	813	660
552	814	657
553	815	656
554	816	654
555	817	652
556	818	650
557	821	650
558	822	648
559	823	646
560	824	644
561	826	644
562	829	643
563	830	641
564	831	639
565	832	638
566	833	636
567	834	634
568	835	632
569	837	631
570	839	630
571	840	628
572	840	626
573	842	625
574	844	624
575	846	622
